buy_usdc,snusd_received,avg_price,borrowable_usdc,net_profit_usdc
8050.0000000000,5103.6930032942,1.5772892286,4967.2621233706,-3213.5154086294
8100.0000000000,5115.7054210371,1.5833593480,4978.9534276136,-3251.8241043864
8150.0000000000,5127.6260865987,1.5894294674,4990.5554323759,-3290.2220996241
8200.0000000000,5139.4560471996,1.5954995869,5002.0691568840,-3328.7083751160
8250.0000000000,5151.1963341841,1.6015697063,5013.4956049125,-3367.2819270875
8300.0000000000,5162.8479633199,1.6076398257,5024.8357650758,-3405.9417669242
8350.0000000000,5174.4119350913,1.6137099452,5036.0906111135,-3444.6869208865
8400.0000000000,5185.8892349850,1.6197800646,5047.2611021685,-3483.5164298315
8450.0000000000,5197.2808337708,1.6258501840,5058.3481830600,-3522.4293489400
8500.0000000000,5208.5876877745,1.6319203035,5069.3527845498,-3561.4247474502
8550.0000000000,5219.8107391464,1.6379904229,5080.2758236026,-3600.5017083974
8600.0000000000,5230.9509161223,1.6440605423,5091.1182036408,-3639.6593283592
8650.0000000000,5242.0091332798,1.6501306618,5101.8808147936,-3678.8967172064
8700.0000000000,5252.9862917882,1.6562007812,5112.5645341408,-3718.2129978592
8750.0000000000,5263.8832796541,1.6622709006,5123.1702259507,-3757.6073060493
8800.0000000000,5274.7009719599,1.6683410200,5133.6987419131,-3797.0787900869
8850.0000000000,5285.4402310986,1.6744111395,5144.1509213680,-3836.6266106320
8900.0000000000,5296.1019070031,1.6804812589,5154.5275915278,-3876.2499404722
8950.0000000000,5306.6868373701,1.6865513783,5164.8295676961,-3915.9479643039
9000.0000000000,5317.1958478794,1.6926214978,5175.0576534810,-3955.7198785190
9050.0000000000,5327.6297524093,1.6986916172,5185.2126410040,-3995.5648909960
9100.0000000000,5337.9893532458,1.7047617366,5195.2953111049,-4035.4822208951
9150.0000000000,5348.2754412890,1.7108318561,5205.3064335415,-4075.4710984585
9200.0000000000,5358.4887962538,1.7169019755,5215.2467671855,-4115.5307648145
9250.0000000000,5368.6301868676,1.7229720949,5225.1170602148,-4155.6604717852
9300.0000000000,5378.7003710622,1.7290422144,5234.9180503004,-4195.8594816996
9350.0000000000,5388.7000961637,1.7351123338,5244.6504647910,-4236.1270672090
9400.0000000000,5398.6300990767,1.7411824532,5254.3150208924,-4276.4625111076
9450.0000000000,5408.4911064654,1.7472525727,5263.9124258438,-4316.8651061562
9500.0000000000,5418.2838349311,1.7533226921,5273.4433770904,-4357.3341549096
9550.0000000000,5428.0089911855,1.7593928115,5282.9085624523,-4397.8689695477
9600.0000000000,5437.6672722211,1.7654629310,5292.3086602901,-4438.4688717099
9650.0000000000,5447.2593654772,1.7715330504,5301.6443396666,-4479.1331923334
9700.0000000000,5456.7859490036,1.7776031698,5310.9162605061,-4519.8612714939
9750.0000000000,5466.2476916197,1.7836732893,5320.1250737494,-4560.6524582506
9800.0000000000,5475.6452530718,1.7897434087,5329.2714215063,-4601.5061104937
9850.0000000000,5484.9792841856,1.7958135281,5338.3559372051,-4642.4215947949
9900.0000000000,5494.2504270173,1.8018836476,5347.3792457384,-4683.3982862616
9950.0000000000,5503.4593150001,1.8079537670,5356.3419636068,-4724.4355683932
10000.0000000000,5512.6065730889,1.8140238864,5365.2446990589,-4765.5328329411
10050.0000000000,5521.6928179016,1.8200940058,5374.0880522294,-4806.6894797706
10100.0000000000,5530.7186578575,1.8261641253,5382.8726152734,-4847.9049167266
10150.0000000000,5539.6846933134,1.8322342447,5391.5989724990,-4889.1785595010
10200.0000000000,5548.5915166963,1.8383043641,5400.2677004968,-4930.5098315032
10250.0000000000,5557.4397126344,1.8443744836,5408.8793682665,-4971.8981637335
10300.0000000000,5566.2298580844,1.8504446030,5417.4345373421,-5013.3429946579
10350.0000000000,5574.9625224576,1.8565147224,5425.9337619132,-5054.8437700868
